Full Name;Passport Number;Date of Birth;Nationality;Visa Type;Arrival Date;Departure Date;Immigration Status
Kevin Allen;510492361;1969-06-12;Zimbabwe;Diplomatic;2017-12-31;2009-03-14;Expired
Sarah Martin;674094685;1955-06-10;Algeria;Work;2013-05-01;2011-01-31;Pending
Joseph Massey;13559080;1964-09-04;Ukraine;Diplomatic;2007-10-31;2017-05-02;Pending
Thomas Jordan;630264053;1967-03-27;Italy;Tourist;2006-10-27;2018-06-05;Pending
Samuel Perkins;794664957;1998-01-11;United States of America;Diplomatic;2010-11-13;2022-01-08;Valid
Chris Stewart;352711659;1955-02-08;Saint Kitts and Nevis;Tourist;2001-04-23;2013-09-09;Pending
Corey Walker;370235794;1971-04-18;Costa Rica;Tourist;2023-03-05;2023-02-21;Pending
Allison Christensen;92052257;1981-01-18;Burkina Faso;Work;2023-06-07;2000-10-31;Expired
Michelle Brown;230954006;1976-10-02;Bhutan;Work;2021-04-13;2023-03-02;Valid
Sherry Rodriguez;36211189;1993-11-26;Timor-Leste;Diplomatic;2023-10-15;2000-04-03;Pending
Kyle Bowers;773919784;1987-08-24;Slovenia;Tourist;2000-06-12;2019-01-27;Pending
Rebecca Medina;141244747;1964-07-31;Georgia;Work;2011-04-12;2001-10-11;Expired
David Walton;283753907;1970-10-05;Gabon;Diplomatic;2018-06-30;2004-06-18;Valid
Wendy Harris;470801343;1965-03-06;Faroe Islands;Diplomatic;2007-06-17;2001-05-29;Valid
Phyllis Wells;122874597;1995-01-24;Guyana;Student;2011-08-18;2017-12-06;Pending
Lisa Mcclain;599226929;1964-04-25;Canada;Work;2013-09-07;2005-07-19;Pending
Jeff Nichols;523989989;1965-12-21;Serbia;Student;2007-01-02;2005-04-13;Pending
Donna Medina;497079464;1984-03-14;Denmark;Diplomatic;2009-05-11;2016-01-22;Valid
Nathaniel Tucker;762791987;1968-07-20;Congo;Diplomatic;2011-01-10;2005-12-03;Pending
Christie Jackson;900796260;1999-03-31;Kazakhstan;Work;2023-05-24;2004-07-18;Valid
Megan Jimenez;822928329;1979-06-26;Senegal;Student;2010-02-25;2013-04-12;Expired
Sheila Harmon;762577486;2005-07-30;Russian Federation;Diplomatic;2009-06-13;2002-05-14;Expired
Loretta Lopez;313462150;2004-05-10;British Virgin Islands;Work;2022-01-19;2021-06-25;Valid
Gina Miller;519450489;2000-03-11;Dominican Republic;Diplomatic;2011-02-15;2002-02-28;Expired
Jennifer Douglas;205636499;2001-07-31;Costa Rica;Tourist;2015-11-26;2008-05-16;Pending
Ryan Malone;874445119;2002-10-04;Ukraine;Student;2010-10-15;2004-12-13;Expired
Crystal Wood;799542813;1991-11-01;Holy See (Vatican City State);Student;2003-06-01;2002-02-01;Expired
Brett Mcclure;849474579;1955-03-17;Botswana;Student;2003-02-13;2005-06-07;Expired
Juan Moore;632024448;1979-02-07;Fiji;Student;2012-03-29;2012-01-18;Expired
Becky Munoz;765234190;1966-10-27;Guernsey;Student;2016-05-09;2012-03-11;Expired
Joshua Oliver;12577692;1953-07-21;French Guiana;Tourist;2013-08-11;2017-11-16;Pending
Anthony Scott;247073033;1963-03-07;Serbia;Work;2014-05-19;2005-06-09;Valid
Mary Barnes;494226816;1961-05-04;Benin;Student;2012-04-15;2003-11-05;Pending
Gary Tran;655236864;1992-10-03;Nepal;Tourist;2011-03-14;2005-10-21;Valid
Carl Lyons;412909728;1961-04-02;Cambodia;Student;2002-01-25;2015-10-05;Expired
Andrew Blanchard;658333030;1977-03-23;Holy See (Vatican City State);Work;2002-04-13;2018-02-08;Expired
Anna Chavez;475303869;1973-01-30;Palestinian Territory;Student;2000-10-20;2021-04-21;Valid
Connor Hughes;988731535;1994-12-07;Martinique;Work;2009-07-27;2005-09-16;Expired
Kristina Fleming;622910739;1988-12-05;Afghanistan;Student;2022-05-09;2020-03-30;Expired
Michael Blair;421228868;1953-02-11;Guinea;Diplomatic;2009-10-04;2012-04-12;Expired
Nancy Martin;303374685;1955-08-08;Burundi;Tourist;2002-03-19;2012-04-17;Valid
Kristin Perkins;426401209;1964-06-07;Ecuador;Work;2007-03-05;2003-05-11;Valid
Joshua Doyle;14344305;1971-06-20;Niue;Work;2000-11-20;2000-01-14;Pending
Brittany Robles;919654194;1978-10-26;Singapore;Diplomatic;2017-04-30;2017-04-04;Expired
Amber Noble;28766192;1960-04-05;United States Virgin Islands;Work;2016-04-08;2002-03-04;Pending
Amanda Pope;108933892;1953-06-06;Belarus;Work;2019-10-20;2009-05-03;Pending
Emily Tucker;128830072;1971-06-22;Brazil;Work;2008-03-07;2002-06-27;Expired
Samantha Lee;93202372;2004-04-30;Tuvalu;Diplomatic;2022-01-17;2020-02-03;Valid
Jason Sutton;790381155;1990-09-29;Tunisia;Tourist;2011-03-23;2014-12-23;Expired
Tristan Hardin;512350015;1990-07-30;Iraq;Tourist;2022-03-23;2005-06-14;Valid
Charles Mitchell;384815571;1998-06-08;Kuwait;Student;2008-07-20;2022-09-25;Pending
Sarah Garza;76848249;2002-06-19;Albania;Student;2020-01-12;2017-07-30;Valid
Rachel Adkins;762791881;1955-03-06;Afghanistan;Student;2021-05-26;2003-10-27;Valid
John Rogers;299188175;1983-09-29;Svalbard & Jan Mayen Islands;Diplomatic;2005-09-24;2007-04-07;Pending
Lauren Hernandez;581407672;1953-07-18;Angola;Tourist;2012-07-31;2011-09-07;Pending
Allison Webster;481295767;1955-02-16;Tanzania;Work;2002-03-02;2020-07-24;Expired
Joseph Turner;786421423;1983-12-18;Pakistan;Tourist;2005-07-12;2018-03-30;Expired
Veronica Hopkins;199414429;1986-02-13;Rwanda;Diplomatic;2000-06-08;2005-07-03;Pending
Linda Morales;170032444;2004-08-14;Azerbaijan;Tourist;2014-08-15;2007-08-24;Pending
Gregory Fletcher;878987732;1989-11-15;Bermuda;Work;2021-09-13;2013-02-24;Expired
Brittany Holmes;249129761;1994-07-30;Uganda;Work;2000-08-03;2005-02-15;Valid
Nathaniel Dorsey;876609970;2001-07-11;Greenland;Diplomatic;2022-08-15;2017-02-12;Pending
Nathaniel Larson;828745523;2005-03-19;Greece;Diplomatic;2007-01-17;2002-11-06;Pending
Allison Rice;143204790;1975-05-31;Paraguay;Tourist;2016-12-02;2008-01-03;Pending
Ian Johnson;882515162;2003-10-09;Bosnia and Herzegovina;Student;2017-04-06;2006-09-13;Pending
Larry Rose;231642788;1984-11-15;Madagascar;Student;2005-06-21;2000-06-16;Pending
Dawn Jenkins;821416187;1967-08-27;Saint Barthelemy;Tourist;2001-12-19;2007-07-21;Expired
Raymond Brown;747330158;1980-02-13;Haiti;Student;2019-01-07;2000-08-03;Valid
Joseph Brown;36230250;2000-10-25;Puerto Rico;Diplomatic;2002-01-08;2014-02-23;Valid
Walter Miller;379342183;1960-01-18;Lebanon;Student;2016-11-04;2020-07-19;Valid
Tony Bell;249082602;1955-02-08;New Zealand;Tourist;2011-05-18;2012-12-04;Expired
Willie Carter;450324502;1956-03-18;Slovakia (Slovak Republic);Diplomatic;2020-07-20;2018-07-02;Expired
Carol Lynch;451574796;1953-12-12;Portugal;Tourist;2023-10-11;2003-07-21;Pending
Jamie Richards;125576757;1953-07-14;Guinea;Work;2020-10-16;2010-06-26;Expired
Matthew Berry;730093760;1985-07-14;Iceland;Tourist;2020-11-07;2021-05-16;Pending
Laura Wilcox;564169403;2004-09-04;Sri Lanka;Diplomatic;2005-06-15;2004-08-02;Expired
Megan Ortiz;672311223;1991-08-16;Micronesia;Student;2018-07-15;2019-11-11;Valid
Brent Douglas;100713683;1984-09-11;Liechtenstein;Tourist;2011-03-21;2019-03-21;Pending
Stephanie Frost;851207704;1976-08-05;Singapore;Tourist;2013-08-11;2002-09-14;Expired
Lisa Kennedy;160748917;1956-03-05;Heard Island and McDonald Islands;Student;2019-06-20;2010-02-09;Pending
Christopher Conway;478084704;1979-04-24;Switzerland;Tourist;2008-12-29;2003-01-01;Valid
Elizabeth Carlson;802193668;1996-07-09;Solomon Islands;Diplomatic;2003-07-10;2010-05-01;Valid
Timothy Collins;990126111;1998-12-05;Taiwan;Diplomatic;2003-07-29;2007-10-03;Valid
Vernon Hernandez;477288316;1998-03-31;French Southern Territories;Tourist;2011-12-27;2006-03-09;Valid
Christopher Peterson;196596620;1959-05-09;Botswana;Student;2008-05-17;2023-02-08;Expired
Tracy Garcia;109611771;1968-10-14;French Southern Territories;Diplomatic;2004-03-09;2022-04-24;Expired
Beverly Donovan;97158272;1957-02-06;Kazakhstan;Tourist;2021-06-12;2008-03-12;Pending
Samantha Smith;448811116;1983-02-08;Moldova;Tourist;2008-05-15;2016-02-24;Pending
Patrick Morris;128115634;1989-11-22;Antigua and Barbuda;Tourist;2001-08-19;2005-04-06;Pending
Thomas Burns;876544070;1993-05-31;Slovenia;Tourist;2015-11-01;2020-11-21;Pending
Dana Kelly;123718964;1978-03-07;Hong Kong;Diplomatic;2017-04-23;2020-02-09;Pending
Hannah Meza;211833553;1997-08-18;Guinea-Bissau;Work;2007-10-23;2004-10-21;Valid
Paul Richards;68365960;1994-11-19;Albania;Diplomatic;2020-09-09;2010-07-31;Expired
Lisa Curry;288291413;1954-08-12;Latvia;Student;2000-04-12;2023-04-04;Expired
Tracey Gray;174880189;1980-07-21;Aruba;Student;2012-04-24;2013-03-10;Expired
Jamie Gilmore;379670092;1974-06-28;Cote d'Ivoire;Work;2012-08-02;2018-11-09;Expired
Brian Hall;268974922;1959-06-20;Lao People's Democratic Republic;Work;2008-03-21;2012-04-14;Pending
Mercedes Montgomery;588056451;1993-06-18;Dominican Republic;Diplomatic;2001-07-12;2005-08-01;Valid
Thomas Hampton;564207982;1965-01-01;Micronesia;Student;2000-06-24;2023-05-28;Valid
Michael Gonzales;29825557;1968-02-14;Holy See (Vatican City State);Tourist;2009-09-21;2018-01-18;Valid
Mark Moran;936066260;1981-09-29;Cuba;Tourist;2010-08-11;2001-09-09;Valid
Curtis Miller;187677219;1967-05-30;United States Virgin Islands;Work;2005-09-21;2016-08-16;Valid
Nicole Hendrix PhD;673845695;1953-01-09;Tajikistan;Tourist;2018-03-17;2017-11-04;Valid
Shawn Boone;710496018;1961-01-06;Turkmenistan;Student;2023-05-03;2020-09-12;Valid
Christopher Dillon MD;705929860;1994-01-29;Switzerland;Work;2022-06-28;2022-04-05;Valid
Crystal Robinson DDS;601921961;1955-09-25;Uganda;Student;2019-05-28;2003-07-17;Pending
Sarah Wilson;981994372;1954-12-19;Uruguay;Diplomatic;2009-07-24;2014-01-10;Valid
Patricia Castaneda;844747658;1973-04-07;Ireland;Work;2013-08-16;2022-03-29;Valid
Taylor Ross;725512814;1977-05-17;Saudi Arabia;Tourist;2003-11-26;2010-06-03;Pending
Donna Jackson;16824079;1970-11-08;Lao People's Democratic Republic;Diplomatic;2015-01-17;2019-03-31;Expired
Elizabeth Mason;496907809;2000-07-18;Benin;Tourist;2007-04-07;2006-11-10;Pending
Danielle Smith;159477697;1976-01-20;Reunion;Diplomatic;2017-06-05;2018-06-15;Pending
Angela Mccoy;757413387;1964-07-26;Montserrat;Student;2006-01-19;2022-10-05;Valid
Heather Lee;357564007;2004-09-05;Ghana;Diplomatic;2017-06-19;2012-11-28;Expired
Jennifer Weiss;463287762;1970-07-17;Grenada;Student;2019-05-26;2015-09-04;Pending
Nicholas Perry;103379103;2004-03-01;South Africa;Diplomatic;2018-04-12;2007-04-20;Pending
Cheryl Brandt;523772777;1967-02-02;Iraq;Student;2004-11-18;2012-05-13;Expired
David Tucker;257874124;1964-01-23;Benin;Tourist;2005-05-05;2016-04-27;Expired
Diane Elliott;142507466;1995-11-09;Cote d'Ivoire;Work;2019-04-14;2017-08-30;Expired
Catherine Koch;3780131;1973-03-15;Ukraine;Tourist;2016-01-03;2013-12-08;Expired
Alec Mosley;225947427;1964-02-09;Qatar;Tourist;2009-09-07;2003-12-31;Valid
Alvin Williams;914266065;1971-10-14;Montenegro;Work;2002-01-19;2002-01-07;Pending
Daniel Bryan;311624607;2004-02-18;Indonesia;Tourist;2018-04-25;2016-05-22;Expired
Dennis Griffith;167196745;1980-11-03;Syrian Arab Republic;Student;2003-04-30;2023-03-31;Valid
Desiree Howard;763246820;1993-02-23;Guinea-Bissau;Diplomatic;2003-03-17;2008-06-17;Expired
April Jones;899924695;1982-12-16;Croatia;Tourist;2012-04-27;2000-05-05;Expired
Michelle Lewis;659624602;1984-11-19;Ghana;Student;2007-07-27;2004-07-10;Expired
Corey Parrish;313297274;1974-11-08;United States Minor Outlying Islands;Work;2015-07-29;2017-04-19;Expired
Kevin Cox;79774945;1966-08-14;Netherlands;Student;2018-02-26;2000-06-13;Expired
Kenneth Church;732088200;2003-04-20;Montserrat;Student;2015-10-25;2010-11-14;Expired
Jack Hall;889139543;1997-04-03;Cambodia;Work;2018-07-25;2011-10-21;Pending
Amy Morris;175837905;1960-06-13;American Samoa;Work;2002-06-06;2014-08-28;Pending
Lindsey Lucas;228441137;1982-01-27;Sao Tome and Principe;Work;2007-09-30;2000-05-12;Valid
Christopher Mcgee;160986769;2002-08-28;Serbia;Student;2020-10-25;2010-05-17;Pending
Joseph Hatfield;727566935;1956-04-24;Kuwait;Diplomatic;2009-01-30;2017-08-12;Pending
Taylor Ward;169830749;1969-09-23;Nepal;Student;2020-07-19;2020-07-21;Valid
Lisa Gibbs;676554962;1996-11-22;Ghana;Diplomatic;2012-02-12;2008-01-20;Valid
Keith Mason;201395144;1961-06-12;Costa Rica;Work;2021-12-28;2011-02-22;Valid
Kimberly Jordan;989315162;2000-10-19;Russian Federation;Student;2016-01-01;2014-03-21;Expired
Mark Montgomery;231607911;1976-10-03;Poland;Work;2000-10-17;2004-07-26;Expired
Kelly Montgomery MD;63973048;1980-03-18;Colombia;Tourist;2015-06-28;2013-12-05;Expired
Kyle Pham;82112614;1954-11-03;Zimbabwe;Student;2015-07-01;2013-03-04;Expired
Jason Burns;471978341;1955-02-15;Northern Mariana Islands;Work;2002-03-01;2014-10-08;Pending
Tracy Hays;730350016;1974-08-17;Turkey;Tourist;2010-08-02;2006-02-15;Valid
Gerald Arias;467225787;1981-06-22;Estonia;Diplomatic;2012-08-19;2021-12-25;Expired
Rita Cook;624256144;1988-06-14;Tajikistan;Work;2016-12-22;2009-09-18;Expired
Brian Washington;752100300;1977-12-31;Sudan;Student;2009-02-15;2004-01-07;Valid
Caleb Thomas;948738768;1998-09-21;Timor-Leste;Work;2013-10-25;2001-09-15;Pending
Derek Cook;758478379;1983-02-26;Georgia;Tourist;2002-01-26;2002-03-02;Pending
Connor Williams;875927287;1958-08-04;Belize;Student;2023-05-15;2018-05-19;Pending
Diane Guzman;988988584;1954-12-08;Comoros;Student;2008-02-05;2005-05-04;Valid
Nathan Olsen;422494651;1995-06-05;Puerto Rico;Student;2022-01-29;2002-10-20;Expired
Cory Berry;720840628;1986-08-03;Honduras;Work;2009-02-11;2020-07-30;Expired
Fred Arias;144029904;1993-07-06;British Indian Ocean Territory (Chagos Archipelago);Tourist;2014-02-23;2005-06-18;Expired
Joseph Adkins;165876199;1966-05-05;Holy See (Vatican City State);Diplomatic;2014-04-25;2016-09-13;Valid
Ryan Smith;684628152;1964-02-24;Kiribati;Diplomatic;2022-07-05;2020-06-01;Pending
Brittany Taylor;458394460;1990-01-28;El Salvador;Work;2021-11-15;2009-09-19;Expired
Kevin Myers;656462001;1977-09-29;Latvia;Tourist;2012-08-04;2006-06-03;Expired
Brian Neal;336460406;1972-07-08;United States Virgin Islands;Work;2014-04-03;2002-01-13;Valid
Richard Nicholson;330709173;1976-11-05;Guyana;Work;2023-09-06;2019-12-09;Valid
Stephen Martin;403220660;1998-05-15;Mauritania;Diplomatic;2006-04-26;2016-03-07;Expired
Edward Weaver;637902157;1999-03-02;Portugal;Diplomatic;2019-05-01;2014-01-23;Valid
Erin Wilson;840420771;1996-08-12;Micronesia;Student;2010-12-27;2005-05-02;Valid
Frederick Porter;83823250;1987-11-05;Guadeloupe;Tourist;2002-02-24;2011-10-31;Valid
Sheila Gonzales;268563110;1976-08-26;Guatemala;Work;2013-11-25;2020-11-18;Valid
Nicole Castillo;307299024;1980-06-17;Timor-Leste;Student;2017-09-19;2006-02-12;Pending
Mr. Marc Vance Jr.;743380805;2001-09-14;Northern Mariana Islands;Diplomatic;2015-04-09;2017-12-30;Expired
Aaron Simmons Jr.;688894235;1972-01-22;Saint Helena;Diplomatic;2005-10-05;2020-05-31;Pending
Rebecca Wells;339036852;1972-08-15;Aruba;Student;2002-02-17;2010-12-11;Valid
Phillip Sosa;478840140;1998-02-14;Anguilla;Tourist;2014-05-14;2016-05-29;Expired
Kimberly Anderson;215790691;1955-10-15;Luxembourg;Student;2004-06-05;2014-11-26;Pending
Elijah Baldwin;646616783;1991-04-11;Congo;Work;2001-03-12;2014-02-28;Expired
Larry Walker;589193198;1999-01-24;Kiribati;Diplomatic;2015-11-04;2003-01-07;Expired
Jason Douglas;740396100;1973-09-15;Chile;Tourist;2002-07-29;2008-01-30;Pending
Joseph Howard;696479216;1964-12-23;Taiwan;Work;2018-01-08;2020-12-14;Valid
Stephanie Spencer;320097167;1985-09-02;North Macedonia;Work;2003-12-29;2014-02-12;Expired
Deborah Simon;90248;1955-08-09;South Georgia and the South Sandwich Islands;Student;2017-01-24;2019-12-18;Pending
Deborah Rodgers;271120602;1985-01-09;Gibraltar;Student;2023-10-12;2011-06-09;Expired
Heather Ali;697869765;1964-03-06;Cyprus;Tourist;2010-09-26;2023-02-20;Valid
Steven Rodriguez;447786358;1978-08-09;Andorra;Diplomatic;2016-10-11;2007-04-12;Expired
Brian Taylor III;913695375;2004-08-30;Cocos (Keeling) Islands;Diplomatic;2013-08-16;2005-04-07;Expired
Jerry Williams;562243173;1990-05-28;Martinique;Diplomatic;2007-11-28;2019-05-25;Valid
April Contreras;446132658;1998-09-11;Solomon Islands;Tourist;2014-03-24;2006-02-18;Expired
Paula Jacobs;337812442;1981-07-22;Haiti;Diplomatic;2009-09-29;2021-07-20;Pending
Jenny Page;769904561;1992-09-08;Andorra;Work;2017-01-11;2017-08-12;Valid
Joyce Fisher;609441270;2004-09-22;Monaco;Tourist;2017-01-19;2011-06-24;Valid
Jennifer Brandt DDS;692702871;1984-02-21;Zambia;Student;2020-02-02;2020-12-02;Expired
Alexander Snyder;698248528;1996-10-31;Palau;Tourist;2019-03-15;2009-06-19;Expired
Donald Rivera;725514770;2003-07-04;Faroe Islands;Tourist;2022-06-24;2001-01-15;Valid
Dale Harmon;866150958;1976-03-22;Bangladesh;Student;2000-03-10;2021-07-09;Pending
Roberta Andrews;453846961;1954-11-01;Niger;Diplomatic;2018-02-15;2006-09-01;Valid
Ronnie Fields;594503720;1998-10-24;Wallis and Futuna;Student;2019-01-23;2023-04-11;Pending
Mary Ruiz;871271238;1969-10-07;Qatar;Tourist;2022-05-05;2011-01-01;Pending
Jennifer Berger;239342568;1979-08-03;Lesotho;Student;2008-05-11;2000-03-10;Pending
Brandon Anderson;198025108;1996-01-16;Samoa;Tourist;2007-02-12;2008-06-20;Valid
Russell Hall;345655317;1955-11-03;Libyan Arab Jamahiriya;Tourist;2002-02-21;2011-05-12;Expired
Jason Rodriguez;415608681;2004-08-12;Tokelau;Tourist;2019-08-07;2014-01-06;Valid
Lisa Cochran;999922707;1970-02-20;Ethiopia;Diplomatic;2013-02-18;2008-02-24;Expired
Jade Lewis;359583242;1973-10-04;Venezuela;Student;2006-08-01;2019-05-28;Valid
Sherri Sharp;861621367;1982-01-11;Slovakia (Slovak Republic);Work;2009-11-19;2018-07-22;Valid
Lisa Gonzalez;829038076;2000-04-30;Kiribati;Student;2005-01-03;2022-06-18;Valid
Jennifer Wheeler;77088949;1989-04-02;Haiti;Diplomatic;2022-04-05;2010-07-17;Expired
Alvin Barr;659103725;1954-11-06;Uzbekistan;Work;2013-12-03;2013-02-04;Valid
Michele Pope;17360871;1959-07-15;Somalia;Student;2022-07-18;2005-09-09;Pending
Jackie Mitchell;387436481;2005-04-12;Antarctica (the territory South of 60 deg S);Tourist;2021-11-13;2012-05-04;Expired
Edgar Holt;941199208;1993-05-12;Puerto Rico;Student;2015-06-02;2019-06-03;Valid
Stephanie Lee;409678513;1977-07-04;Holy See (Vatican City State);Student;2010-12-17;2014-03-05;Pending
Calvin Maldonado;256307849;1965-12-16;Bermuda;Tourist;2016-08-09;2021-11-02;Expired
William Taylor;800064665;1954-05-28;Mexico;Work;2001-03-27;2016-06-02;Expired
Kimberly Peck;596490721;1994-06-28;Bahrain;Student;2009-06-20;2003-07-20;Valid
Karen Heath;871028314;1985-05-22;Maldives;Tourist;2016-09-30;2020-06-01;Expired
Michele Gilbert;16234022;1977-03-19;Singapore;Student;2016-12-29;2016-05-28;Expired
Benjamin Stevens;135061365;1954-08-11;Peru;Work;2013-12-21;2021-07-16;Expired
Brenda Collins;247345895;1973-04-26;Thailand;Diplomatic;2008-05-20;2001-07-13;Valid
Brett Patterson;164071713;1959-04-02;Wallis and Futuna;Diplomatic;2015-09-20;2006-09-02;Valid
Phillip Castillo;788018593;1953-12-03;Macao;Diplomatic;2004-01-16;2010-06-12;Pending
Laurie Stevens;282214692;1982-11-30;Maldives;Diplomatic;2014-12-31;2017-03-03;Expired
Jasmine White;370495628;1976-08-02;Isle of Man;Work;2000-07-30;2018-08-26;Expired
Samantha Warner;190362189;1964-12-19;Mauritius;Student;2007-12-22;2004-02-12;Expired
Michael White;120222890;1955-08-25;Tanzania;Tourist;2020-09-10;2020-08-01;Pending
Adam Holmes;445055405;2005-09-13;Hong Kong;Diplomatic;2020-11-12;2022-06-03;Valid
Joel Hooper;975552056;1995-07-08;Kyrgyz Republic;Student;2012-11-11;2010-12-27;Valid
James Lee;796889691;2001-11-21;Bouvet Island (Bouvetoya);Diplomatic;2018-11-20;2021-11-13;Valid
Andrew Mccarthy;804962945;1974-10-08;Saint Barthelemy;Work;2015-11-01;2013-03-20;Valid
Eric Hale;442728406;1990-06-09;Gibraltar;Diplomatic;2010-03-13;2008-05-13;Valid
Alejandro Hunter;744471193;1995-01-14;Hong Kong;Student;2021-08-12;2016-12-16;Valid
Janet Salazar;835641150;1956-03-17;Bahamas;Tourist;2012-09-05;2009-08-25;Valid
Barbara Phillips;806434850;1964-05-07;Mauritius;Diplomatic;2021-03-03;2006-03-15;Expired
Matthew Kelly;204165324;1990-08-17;Angola;Tourist;2019-04-12;2002-11-25;Expired
Albert Johnson;966022948;1977-04-21;Montenegro;Tourist;2007-02-01;2011-06-07;Valid
Amber Mitchell;320771543;1968-11-23;Falkland Islands (Malvinas);Student;2003-01-05;2005-11-28;Expired
Sarah Hanson;806102101;2005-03-06;Falkland Islands (Malvinas);Diplomatic;2019-03-29;2010-03-06;Valid
Samantha Valentine;659884146;1987-10-25;Finland;Student;2005-06-11;2006-11-13;Valid
